iter	Passed	Remaining
432	1525	1998
433	1528	1993
434	1531	1989
435	1534	1985
436	1537	1981
437	1540	1977
438	1543	1973
439	1547	1969
440	1550	1965
441	1553	1961
442	1557	1957
443	1560	1953
444	1563	1949
445	1566	1945
446	1569	1941
447	1572	1937
448	1575	1933
449	1579	1929
450	1582	1925
451	1585	1921
452	1588	1918
453	1592	1915
454	1596	1911
455	1599	1908
456	1603	1904
457	1606	1901
458	1610	1897
459	1613	1893
460	1616	1890
461	1620	1886
462	1623	1883
463	1627	1879
464	1630	1876
465	1634	1872
466	1637	1869
467	1641	1865
468	1645	1862
469	1648	1859
470	1652	1855
471	1655	1852
472	1659	1848
473	1662	1845
474	1666	1841
475	1669	1837
476	1673	1834
477	1677	1831
478	1680	1827
479	1684	1824
480	1687	1820
481	1691	1818
482	1695	1814
483	1698	1810
484	1701	1807
485	1705	1804
486	1709	1800
487	1712	1797
488	1716	1793
489	1719	1790
490	1723	1786
491	1726	1783
492	1730	1779
493	1734	1776
494	1737	1772
495	1741	1769
496	1745	1766
497	1749	1763
498	1752	1759
499	1756	1756
500	1759	1752
501	1763	1749
502	1766	1745
503	1770	1742
504	1773	1738
505	1777	1735
506	1780	1731
507	1784	1728
508	1788	1724
509	1791	1721
510	1795	1717
511	1798	1714
512	1802	1711
513	1806	1708
514	1809	1704
515	1813	1700
516	1817	1697
517	1820	1694
518	1824	1690
519	1827	1686
520	1830	1683
521	1834	1679
522	1837	1675
523	1840	1672
524	1843	1668
525	1847	1664
526	1850	1660
527	1853	1656
528	1856	1653
529	1860	1649
530	1863	1645
531	1866	1642
532	1870	1638
533	1873	1635
534	1876	1631
535	1880	1627
536	1883	1624
537	1887	1620
538	1890	1616
539	1893	1613
540	1897	1609
541	1900	1606
542	1904	1602
543	1907	1599
544	1911	1595
545	1914	1592
546	1918	1588
547	1922	1585
548	1926	1582
549	1929	1578
550	1932	1575
551	1936	1571
552	1939	1568
553	1943	1564
554	1946	1561
555	1950	1557
556	1954	1554
557	1957	1550
558	1960	1546
559	1963	1543
560	1967	1539
561	1970	1535
562	1973	1531
563	1976	1528
564	1980	1524
565	1983	1520
566	1986	1517
567	1990	1513
568	1993	1509
569	1996	1506
570	2000	1502
571	2003	1499
572	2006	1495
573	2009	1491
574	2013	1488
575	2016	1484
576	2019	1480
577	2023	1477
578	2026	1473
579	2030	1470
580	2033	1466
581	2037	1463
582	2040	1459
583	2043	1455
584	2047	1452
585	2050	1448
586	2053	1445
587	2057	1441
588	2060	1438
589	2064	1434
590	2068	1431
591	2072	1428
592	2075	1424
593	2079	1421
594	2082	1417
595	2086	1414
596	2090	1410
597	2093	1407
598	2097	1403
599	2100	1400
600	2104	1397
601	2107	1393
602	2111	1390
603	2115	1387
604	2119	1383
605	2122	1380
606	2126	1376
607	2130	1373
608	2134	1370
609	2138	1367
610	2141	1363
611	2145	1360
612	2149	1356
613	2152	1353
614	2156	1349
615	2159	1346
616	2163	1342
617	2166	1339
618	2170	1335
619	2173	1332
620	2177	1328
621	2181	1325
622	2184	1321
623	2188	1318
624	2191	1315
625	2195	1311
626	2198	1308
627	2202	1304
628	2206	1301
629	2210	1297
630	2213	1294
631	2217	1290
632	2220	1287
633	2224	1284
634	2228	1281
635	2232	1277
636	2235	1273
637	2239	1270
638	2242	1266
639	2245	1263
640	2249	1259
641	2252	1256
642	2256	1252
643	2259	1249
644	2263	1245
645	2266	1242
646	2270	1238
647	2274	1235
648	2277	1231
649	2281	1228
650	2284	1224
651	2288	1221
652	2292	1218
653	2295	1214
654	2299	1210
655	2302	1207
656	2306	1203
657	2309	1200
658	2312	1196
659	2316	1193
660	2319	1189
661	2323	1186
662	2327	1183
663	2331	1179
664	2334	1176
665	2338	1172
666	2342	1169
667	2346	1166
668	2350	1162
