iter	Logloss
0	0.6857911394
1	0.6766260855
2	0.6656359195
3	0.6572862358
4	0.65005976
5	0.6418835251
6	0.6358393733
7	0.6278763282
8	0.6214841645
9	0.6137465038
10	0.6066752157
11	0.6012875323
12	0.595364027
13	0.5888904626
14	0.5841930459
15	0.5778835831
16	0.5724671772
17	0.5667315439
18	0.5610360848
19	0.5562344255
20	0.5506078012
21	0.5475741187
22	0.5436470697
23	0.5388983365
24	0.5340633122
25	0.5288730335
26	0.5240005586
27	0.5189714103
28	0.5154421421
29	0.5114187121
30	0.5083875675
31	0.5037285919
32	0.499134706
33	0.4953035119
34	0.4915876717
35	0.4871561851
36	0.4838938375
37	0.4811246922
38	0.4784719223
39	0.4750178958
40	0.4718143548
41	0.4693074874
42	0.4661427279
43	0.4624870873
44	0.4593589117
45	0.455493486
46	0.4528509918
47	0.4497398392
48	0.4470742247
49	0.4445958631
50	0.4419555974
51	0.4393684434
52	0.4367816298
53	0.4341789075
54	0.4319969936
55	0.4297924854
56	0.427555417
57	0.425532931
58	0.4233354487
59	0.4213475968
60	0.4188384081
61	0.416314363
62	0.4124123223
63	0.4101218017
64	0.4082826997
65	0.4053870892
66	0.4039850757
67	0.4021555067
68	0.3997806448
69	0.3978416954
70	0.396220302
71	0.3943961803
72	0.3924639162
73	0.3905900874
74	0.3885935692
75	0.3864825328
76	0.3847360359
77	0.3831990147
78	0.3815833782
79	0.3785861559
80	0.3768889948
81	0.3749914266
82	0.3736271732
83	0.3722944898
84	0.3706956596
85	0.36979731
86	0.3679184362
87	0.3664255819
88	0.3648445485
89	0.3634824617
90	0.3621924596
91	0.3607329394
92	0.3594035986
93	0.3581001019
94	0.3567799845
95	0.3558346514
96	0.3547895327
97	0.3533070779
98	0.3519578357
99	0.350707234
100	0.3495716149
101	0.3481671873
102	0.3467243806
103	0.3459629268
104	0.3449484185
105	0.3438927765
106	0.3425825015
107	0.3413643363
108	0.3403118513
109	0.3379343586
110	0.3364812762
111	0.3356886548
112	0.3346527285
113	0.333056034
114	0.3322047297
115	0.3312355955
116	0.330300631
117	0.3294084096
118	0.3284173002
119	0.3272526182
120	0.3264584802
121	0.325484889
122	0.3245684332
123	0.3234925493
124	0.3224115894
125	0.3216378171
126	0.3206489981
127	0.3193087626
128	0.3185096725
129	0.3177557398
130	0.3153745949
131	0.3144957753
132	0.3136277266
133	0.3127662396
134	0.3120326416
135	0.3112770994
136	0.3106090863
137	0.3094202007
138	0.3084313816
139	0.3074078976
140	0.3066649834
141	0.305873631
142	0.3047249506
143	0.3037577971
144	0.3031057238
145	0.3011938254
146	0.3004951709
147	0.2998046256
148	0.2990067735
149	0.2978117597
150	0.2969875374
151	0.296038026
152	0.2950181323
153	0.2941945291
154	0.2933435034
155	0.2924529225
156	0.2909769983
157	0.2903778819
158	0.2897195874
159	0.2889456913
160	0.2883337303
161	0.2876560915
162	0.2857729774
163	0.2850477981
164	0.2843502579
165	0.2835807568
166	0.2827968636
167	0.2820216367
168	0.2812380839
169	0.2805965029
170	0.2799166666
171	0.2794656193
172	0.2786992133
173	0.278100685
174	0.2775429809
175	0.2767609138
176	0.2760028336
177	0.2754527744
178	0.2748907062
179	0.2734984114
180	0.2729478569
181	0.2725826674
182	0.2718109997
183	0.2712747756
184	0.2699218502
185	0.2692970756
186	0.2687228127
187	0.2681212203
188	0.2674015192
189	0.2669845179
190	0.266236992
191	0.2653954682
192	0.264900192
193	0.2644014494
194	0.2639606468
195	0.2633076449
196	0.2627896508
197	0.2622864203
198	0.2618192785
199	0.2613090221
200	0.2606987944
201	0.2602301979
202	0.259642069
203	0.2590315008
204	0.2585335165
205	0.2579472757
206	0.2573368158
207	0.256737003
208	0.2560820202
209	0.2554602787
210	0.2547620886
211	0.2541814344
212	0.2536548514
213	0.2531772637
214	0.2528223808
215	0.2521536558
216	0.2517419935
217	0.2510819503
218	0.250394237
219	0.2499937479
220	0.2494668709
221	0.2489708055
222	0.2483863134
223	0.2480139742
224	0.2475101556
225	0.2468763587
226	0.2464388834
227	0.2459838279
228	0.2453628447
229	0.2449381366
230	0.2444523005
231	0.2439844623
232	0.2433009119
233	0.2428453921
234	0.2424256207
235	0.2418791518
236	0.2413779485
237	0.2406139567
238	0.2402010564
239	0.2397689355
240	0.2391854184
241	0.2386856389
242	0.2382900091
243	0.237774522
244	0.2374362597
245	0.2370797055
246	0.2367666991
247	0.2363528702
248	0.2359253611
249	0.2354858275
250	0.2350855705
251	0.2347737094
252	0.2344896266
253	0.2337752646
254	0.233144733
255	0.2328430857
256	0.2324093244
257	0.2320313986
258	0.2315134199
259	0.2312172663
260	0.2308963985
261	0.2306914726
262	0.2303137479
263	0.2301436264
264	0.2297513084
265	0.2291310216
266	0.2287271279
267	0.2281127992
268	0.2275731704
269	0.2272202529
270	0.2268237565
271	0.2262723354
272	0.2259364873
273	0.22560327
274	0.2253053986
275	0.2249665483
276	0.2243304456
277	0.2239853896
278	0.22365584
279	0.2233129505
280	0.2230510905
281	0.2227025835
282	0.2224128212
283	0.2218063076
284	0.2213365659
285	0.2211199406
286	0.2208307665
287	0.2203455958
288	0.2200312276
289	0.2195548624
290	0.2192109826
291	0.2189509332
292	0.2185006287
293	0.2180531097
294	0.2177174628
295	0.2173250674
296	0.2169765759
297	0.216636503
298	0.2163612103
299	0.2159476445
300	0.2154120393
301	0.2150429654
302	0.2146767854
303	0.2142330889
304	0.2140033714
305	0.2137349189
306	0.2134320954
307	0.2128831658
308	0.2125002724
309	0.2121630624
310	0.2116356902
311	0.2110745196
312	0.210805773
313	0.2105267817
314	0.2102155086
315	0.2099135207
316	0.2096487049
317	0.209153274
318	0.2086003054
319	0.2082832445
320	0.2080337184
321	0.2078154682
322	0.2074317855
323	0.2070823809
324	0.2065906022
325	0.2063001435
326	0.2059402156
327	0.2055659575
328	0.2050664565
329	0.204759857
330	0.2044668294
331	0.2042262017
332	0.2039988829
333	0.203697901
334	0.2033476607
335	0.2028647804
336	0.2024728028
337	0.2021082478
338	0.2018257435
339	0.2015718843
340	0.201347738
341	0.2008694693
342	0.2004788691
343	0.2001990576
344	0.1998718602
345	0.1996492305
346	0.1994455272
347	0.1989680478
348	0.1986210109
349	0.1984407994
350	0.1981595486
351	0.1978473779
352	0.1977025123
353	0.1972616323
354	0.1968724868
355	0.1959350462
356	0.1956399449
357	0.1952266732
358	0.1948761543
359	0.1944913264
360	0.1942130934
361	0.1939361448
362	0.1936588868
363	0.193432481
364	0.1930710675
365	0.1928487472
366	0.1924993426
367	0.1922923276
368	0.1920518701
369	0.1917593378
370	0.1915476956
371	0.1911368844
372	0.1908838144
373	0.1904847491
374	0.1901905919
375	0.1899962977
376	0.1894651649
377	0.1890716398
378	0.1887372928
379	0.1884648012
380	0.188218463
381	0.1878319793
382	0.1876781843
383	0.1874369066
384	0.1869566262
385	0.1868032955
386	0.1865676044
387	0.1863229531
388	0.1860202998
389	0.1858384169
390	0.185509997
391	0.1852380934
392	0.1849642864
393	0.1845817489
394	0.1844583941
395	0.1840968722
396	0.1838226783
397	0.1836365551
398	0.1834006629
399	0.1830500202
400	0.1828433766
401	0.1824152484
402	0.1820130261
403	0.1816375918
404	0.1814301125
405	0.1811174311
406	0.180672868
407	0.1803610997
408	0.1801130593
409	0.1795364906
410	0.1792893477
411	0.1788022426
412	0.1784685456
413	0.1782725955
414	0.1780487122
415	0.1777178317
416	0.1775776861
417	0.1771863895
418	0.1768732284
419	0.1766248784
420	0.1763864637
421	0.1762286142
422	0.1760464218
423	0.1757233409
424	0.1755383784
425	0.1753790122
426	0.1750654333
427	0.1748004163
428	0.174616568
429	0.1744051734
430	0.1740729001
431	0.1737624008
432	0.1736097665
433	0.1732523765
434	0.1730122595
435	0.1726661357
436	0.172506816
437	0.1722698869
438	0.1719729131
439	0.171741385
